code;description;cost;price;minimum_stock;intial_stock;size_id
196606904412;BIVIDI JORDAN ZION ;0;60;12;2;3
827782027304;CANGURO CALVIN KLEIN;0;104;12;89;15
887232052058;GORRA JORDAN NEGRO;0;74;12;93;15
825664663640;PECHERA JORDAN AIR ;0;50;12;91;15
196465185540;ADICANE SLIDE;0;85;3;3;17
196604451970;AIR FORCE 1 LOW RETRO;0;300;3;98;18
723764569322;BILLETERA FOSIL SOBRE;0;171;3;97;15
196163421469;BILLETERA MICHAEL KORS ;0;95;3;1;15
192877938538;BILLETERA MK COLOR VAINILLA ;0;259;3;97;15
196156368429;BIVIDI JORDAN;0;69;3;98;1
194499051084;BLAZER MID '77 VNTG;0;250;3;98;20
197232276881;BOTINES TOMMY JEANS BLANCOS;0;203;3;3;20
196807307500;BOXER CALVIN KLEIN PACK 3;0;60;3;97;3
194999336568;BOXER MICRO CLASSICS TH;0;67;3;3;2
194999252134;BOXER TH PACK DE 3;0;58;3;1;2
194999334618;BOXER THCOMFORT TOMMY HILFIGER;0;67;3;3;2
194999317178;BOXER TOMMY HILFIGER PACK 4 UNIDADES ;0;74;3;97;2
194999026551;CALZONCILLOS TOMMY HILFIGER;0;69;3;1;2
825663411600;CANGURO JORDAN AIR ;0;55;3;98;15
196153438194;CASACA NIKE DAMA;0;94;3;98;2
196153438170;CASACA NIKE DAMA;0;94;3;97;22
190231799603;CROSSBODY  GUESS NEGRO ;0;215;3;97;15
4065451244171;GORRA FERRARI;0;51;3;97;15
617846649593;GORRA JORDAN BLANCA DE NIÑO ;0;93;3;99;15
194501096317;GORRA JORDAN NEGRO VISERA ROJA;0;74;3;97;15
196294176436;GORRA MITCHELL & NESS MORADO VERDE;0;50;3;1;15
4065451482832;GORRA PUMA BLANCA ;0;48;3;97;15
4065451482825;GORRA PUMA BMW NEGRA ;0;59,5;3;97;15
39626;INVICTA PULSERA MODELO 39626;0;95;3;1;15
196155374193;JOGGER JORDAN AIR LOGO VARIOS ;0;92;3;97;2
196155374209;JOGGER JORDAN AIR LOGO VARIOS ;0;92;3;97;3
196607190272;JOGGER JORDAN CELESTE;0;108;3;2;1
195244667673;JOGGER JUMPMAN;0;121;3;97;1
196153627482;JOGGER NIKE ;0;130;3;98;1
196149338774;JOGGER NIKE WOMENS;0;81;3;97;1
196154799799;NIKE AIR FORCE 1;0;189;3;97;20
196152213198;NIKE AIR HUARACHE CRATER;0;200;3;97;23
196154136549;NIKE AIR HUARACHE PRM;0;210;3;97;18
194495075558;NIKE AIR MAX 95 RECRAFT;0;176;3;97;8
196152314475;NIKE AIR MAX UPTEMPO MORE ;0;274;3;97;20
196604351423;NIKE AIR MORE UPTEMPO SLIDE NA;0;199;3;97;18
196604409834;Nike Air Trainer 1 Mid;0;252;3;98;18
196604409810;Nike Air Trainer 1 Mid;0;252;3;97;25
887231247882;NIKE EBERNON LOW NEGRA;0;120;3;97;13
194999297951;PACK DE 4 BOXER TH;0;87;3;97;1
196805443347;PACK DE 6 MEDIAS TH ;0;59;3;97;15
192491767125;PANTUFLAS CHAMPION ;0;60;3;99;113
196148151046;PECHERA NIKE AIR MAX LOGO PEQUEÑO ;0;93;3;97;15
7621701521866;POLERA GUESS HOMBRE;0;134;3;97;2
195868336962;POLERA JORDAN AJ11;0;146;3;97;2
195244654246;POLO AIR  JORDAN ALARACO ;0;81;3;97;1
195244654253;POLO AIR JORDAN ALARACO;0;81;3;97;2
195244654260;POLO AIR JORDAN ALARACO ;0;81;3;97;3
468588400337;POLO AZUL TOMMY HILFIGER;0;48;3;98;1
827782050494;POLO BLANCO CALVIN KLEIN;0;95;3;97;2
196156367460;POLO BLANCO JORDAN AIR;0;105;3;97;3
196148700008;POLO CROP JORDAN DE MUJER ;0;60;3;98;1
7628067843212;POLO GUESS BLANCO ;0;75;3;97;1
7628067843243;POLO GUESS BLANCO ;0;75;3;96;4
7624926345606;POLO GUESS GRAFITY;0;69;3;98;3
7622336853698;POLO GUESS LOGO NEGRO BLANCO;0;102;3;97;2
7628067843304;POLO GUESS NEGRO;0;75;3;97;4
7621701224101;POLO GUESS NEGRO CUELLO BLANCO;0;85;3;97;3
7621701224118;POLO GUESS NEGRO CUELLO BLANCO;0;83;3;97;4
196156329512;POLO JORDAN AIR CREMA ;0;68;3;97;113
196609288519;POLO JORDAN BLANCO ;0;87;3;2;113
196607666081;POLO JORDAN OVERSIZE ;0;78;3;2;2
196969697792;POLO JORDAN SNEAKERS LOGO ;0;107;3;1;4
196607666562;POLO JORDAN SPORT AZUL ;0;85;3;1;1
195563727805;POLO MICCHELL NESS ;0;85;3;1;113
196147052139;POLO NIKE BLANCO;0;70;3;97;1
196149338293;POLO NIKE DAMA CROP;0;89;3;97;1
196151499647;POLO NIKE MANGA LARGA NEGRO;0;57;3;98;1
196805931547;POLO TH ;0;73;3;97;4
196805898307;POLO TH ;0;76;3;97;2
197232019938;POLO TOMMY HILFIGER ;0;83;3;97;113
008763419206;POLO TOMMY HILFIGER BLANCO;0;81;3;97;2
638950871397;POLO TOMMY HILFIGER BLANCO ;0;74;3;97;113
197232060954;POLO TOMMY HILFIGER CAMISERO AZUL OSCURO                     ;0;82;3;97;1
197232059828;POLO TOMMY HILFIGER CAMISERO ROJO;0;82;3;98;1
197232584443;POLO TOMMY HILFIGER FIRMAS BLANCO ;0;73;3;1;1
196805920299;POLO TOMMY HILFIGER NEGRO ;0;72;3;97;113
196805919873;POLO TOMMY HILFIGER NEGRO ;0;71;3;97;113
197232012762;POLO TOMMY JEANS;0;83;3;97;2
